

----------------------------特别土特产----------------------------
特别土特产(2019-07-19 08:37:55):  看看这会行不行
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 17:27:14):  另外亲亲身份证正反面重复了哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 17:27:17):  http://222.73.205.96/JLRWeb/PC/Index.aspx 亲，这个是联通卡上传信息的链接，您可以自主点击上传~
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 17:27:22):  麻烦亲亲重新上传一下的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 17:27:26):  给亲亲添麻烦了
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 20:56:45):  [表情]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 22:56:59):  请问您这边还有其他问题需要咨询吗
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 22:57:44):  尊敬的客户，整日奔波挺辛苦，天热多喝水，爱惜身体加餐饭，后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天[表情]
特别土特产(2019-07-19 22:57:46):  

----------------------------anitamsy----------------------------
anitamsy(2019-07-19 09:38:30):  [图片]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:38:30):  您好，我是捷豹路虎官方旗舰店购车管家:16，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情： https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
anitamsy(2019-07-19 09:38:40):  请问一下我的simpin在哪呢？
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:39:18):  默认0000或者1234您先试一下的哦，如果还是不行您可以联系联通客服帮您查询一下的哦
anitamsy(2019-07-19 09:40:09):  我已经输错一次了，系统说三次就锁了
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:40:43):  亲亲如果您比较担心的话可以具体咨询一下联通方的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 17:12:29):  请问您这边还有其他问题需要咨询吗
anitamsy(2019-07-19 20:50:13):  申请连接智能领域的步骤还不清楚
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 20:50:49):  收到卡后亲亲需要激活成功
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 20:51:01):  激活成功之后在车上按照如下设置就可以使用了哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 20:51:06):  访问NGI界面并选择屏幕右下角的设置按钮选择”所有设置”选择”功能”选择”连访问NGI界面并选择屏幕右下角的设置按钮选择”所有设置”选择”功能”选择”连接”打开”移动数据”选择”同意”(您的设备开始读取SIM卡；屏幕右上角的数据信号标识处于不可用状态)一旦您的SIM卡被成功读取，”移动设置”选项将会出现，同时数据信号标识变为可用状态选择”移动设置”选择”流量使用”选择”使用限制”，并将默认的100MB数据修改为1024MB 或者1GB <取决于您选取的数据单位>打开“使用限制”，此时您的数据计划即被激活
anitamsy(2019-07-19 20:52:00):  卡已经激活了
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 20:52:11):  访问NGI界面并选择屏幕右下角的设置按钮选择”所有设置”选择”功能”选择”连访问NGI界面并选择屏幕右下角的设置按钮选择”所有设置”选择”功能”选择”连接”打开”移动数据”选择”同意”(您的设备开始读取SIM卡；屏幕右上角的数据信号标识处于不可用状态)一旦您的SIM卡被成功读取，”移动设置”选项将会出现，同时数据信号标识变为可用状态选择”移动设置”选择”流量使用”选择”使用限制”，并将默认的100MB数据修改为1024MB 或者1GB <取决于您选取的数据单位>打开“使用限制”，此时您的数据计划即被激活
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 20:52:18):  车上按照这个设置一下的哦
anitamsy(2019-07-19 20:52:38):  智能领域app怎么连接的呢？
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 20:53:27):  下载捷豹或者路虎智能驭领APP就可以了哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 22:56:55):  请问您这边还有其他问题需要咨询吗
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 22:57:40):  尊敬的客户，整日奔波挺辛苦，天热多喝水，爱惜身体加餐饭，后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天[表情]
anitamsy(2019-07-19 22:57:41):  

----------------------------nonosonboy----------------------------
nonosonboy(2019-07-19 09:11:57):  [未知]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:11:57):  您好，我是捷豹路虎官方旗舰店购车管家:16，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情： https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:12:05):  您好，欢迎光临捷豹路虎官方旗舰店，我是线上购车管家16，竭诚为您服务。
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:12:13):  请确保您具备如下条件：1.您的爱车配备了InControl智能驭领高级触控服务系统；2.您持有有效的中国大陆身份证；3.您的收货地址位于中国大陆；4.您拥有中国大陆手机	号码；5.您的爱车为一手车（需提供一手车发票）；6.您需在开具购车发票后9个月内申请购买本产品；7.确保您知晓爱车的VIN（车辆识别码）号码；8.VIN码符合此次活动。
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:12:21):  您这边提供 一下您的发票的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:34:33):  亲亲需要满足上方的条件的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:34:36):  尊敬的客户，整日奔波挺辛苦，天热多喝水，爱惜身体加餐饭，后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天[表情]
nonosonboy(2019-07-19 09:34:37):  
nonosonboy(2019-07-19 09:46:43):  如果是二手车呢
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:47:07):  发票时间超过9个月就无法购买了哦
nonosonboy(2019-07-19 09:47:28):  没有，刚上户
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:47:40):  麻烦亲亲提供一下您的发票的哦
nonosonboy(2019-07-19 09:48:02):  好的
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:48:10):  [表情]
nonosonboy(2019-07-19 09:50:40):  [图片]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:50:50):  [表情]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:51:32):  您好，您的VIN码是可以申请购买的。现在把申请购买数控卡的操作流程和注意事项发送给您查看一下。
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:51:35):  亲，在收到发送的短信内有专属上传身份信息的链接，点击链接。自动进入上传信息界面，将“发票照片”、“身份证照片正反面”、“免冠照”这4张照片上传至相应的框内（照片大小：手机2-3M，电脑是2M左右），点击“提交”完成。（速度较慢，耐心等待）
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:51:39):  请您接收到网址链接后，使用订单中预留的手机号码登录，请您在登录实名系统内上传信息时注意以下几点：1.需用户本人提供二代身份证原件正反面彩色照片；2.免冠（露双耳）正对摄像头，拍摄环境明亮，不能使用美图工具及化浓妆；3.五官清晰不可遮挡，头像完整不得有缺失；4.头部面积大于照片总面积1/3；5.证件完整不得有缺失，必须露四边四角；6.身份证原件拍摄无遮挡，证件所有信息清晰不模糊；7.照片真实有效，无涂改作假痕迹；8.照片支持JPG、GIF格式。注：请您在上传照片时严格按照上面的要求上传，如不符合要求，将无法认证您的信息。如果订单处理成功，您将收到包裹物流信息；如果订单处理失败，我们将联系您，告知失败原因并进行后续处理。
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:51:43):  https://item.taobao.com/item.htm?id=520717372031&spm=2014.21600712.0.0
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:51:47):  下单购买数控卡——订单中预留手机号码收到短信链接（一般次日收到短信通知）——点击短信链接进入实名系统认证——完成信息上传——等待审核发卡流程是很简单的呢，发给您的只是上传资料的注意事项。
nonosonboy(2019-07-19 09:54:11):  已经下单付款了，然后等短信是吗
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:54:18):  对的哈
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:54:20):  耐心等待的哦
nonosonboy(2019-07-19 09:54:34):  要得
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:54:39):  [表情]
nonosonboy(2019-07-19 09:54:48):  [表情]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:54:58):  [表情]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 17:12:25):  请问您这边还有其他问题需要咨询吗
nonosonboy(2019-07-19 18:39:54):  已经上传了
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 18:40:06):  好的哈
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 18:40:24):  小客服这边也会催促专员审核的哦
nonosonboy(2019-07-19 18:41:21):  谢谢
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 18:41:29):  客气了哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 20:56:36):  请问您这边还有其他问题需要咨询吗
nonosonboy(2019-07-19 22:34:11):  没有了，等卡到了再麻烦你
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 22:34:33):  好的[表情]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 22:56:50):  请问您这边还有其他问题需要咨询吗
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 22:57:36):  尊敬的客户，整日奔波挺辛苦，天热多喝水，爱惜身体加餐饭，后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天[表情]
nonosonboy(2019-07-19 22:57:37):  

----------------------------gaojiacheng2091----------------------------
gaojiacheng2091(2019-07-19 17:07:00):  你好，新车申请sim卡需要些什么东西
gaojiacheng2091(2019-07-19 17:07:01):  [卡片]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 17:07:01):  您好，我是捷豹路虎官方旗舰店购车管家:16，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情： https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
gaojiacheng2091(2019-07-19 17:07:02):  [卡片]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 17:07:38):  您好，欢迎光临捷豹路虎官方旗舰店，我是线上购车管家16，竭诚为您服务。
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 17:08:06):  请确保您具备如下条件：1.您的爱车配备了InControl智能驭领高级触控服务系统；2.您持有有效的中国大陆身份证；3.您的收货地址位于中国大陆；4.您拥有中国大陆手机	号码；5.您的爱车为一手车（需提供一手车发票）；6.您需在开具购车发票后9个月内申请购买本产品；7.确保您知晓爱车的VIN（车辆识别码）号码；8.VIN码符合此次活动。
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 17:08:11):  需要满足上方条件的哦
gaojiacheng2091(2019-07-19 17:08:56):  直接发给你吗
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 17:09:05):  发票给到我们就可以了哦
gaojiacheng2091(2019-07-19 17:09:17):  拍照就行了是吗
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 17:09:22):  对的哈
gaojiacheng2091(2019-07-19 17:09:34):  稍等我问我销售要一下
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 17:09:51):  好的[表情]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 20:55:50):  您还在吗
gaojiacheng2091(2019-07-19 20:56:07):  销售说在培训，明天给我
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 20:56:20):  亲亲方便的时候给到就可以了哦
gaojiacheng2091(2019-07-19 20:56:25):  好的
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 20:56:31):  [表情]
gaojiacheng2091(2019-07-19 20:56:44):  [表情]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 20:56:50):  [表情]
gaojiacheng2091(2019-07-19 20:57:10):  这么晚还没下班
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 20:57:34):  亲亲早些睡哦 有助于美容呢[表情]
gaojiacheng2091(2019-07-19 20:58:13):  一个人的夜，我的心，应该放在哪里
gaojiacheng2091(2019-07-19 20:58:22):  [表情]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 20:59:24):  自然是心上人那里呢[表情]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 20:59:28):  请问您这边还有其他问题需要咨询吗
gaojiacheng2091(2019-07-19 20:59:51):  这个流量卡一年的对吧
gaojiacheng2091(2019-07-19 21:00:02):  流量有多少哦？
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 21:00:07):  本数据计划价格为1元（人民币，预付费）36个月。目前PSIM每个月基础套餐内最多提供1GB的数据，1GB数据用完后，相关服务将会停止，直至下个月开始。您可以在我店购买数据充值流量包继续使用数据服务。
gaojiacheng2091(2019-07-19 21:01:55):  好的了解
gaojiacheng2091(2019-07-19 21:01:58):  应该够用
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 21:03:26):  好的哈
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 22:56:37):  请问您这边还有其他问题需要咨询吗
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 22:57:29):  尊敬的客户，整日奔波挺辛苦，天热多喝水，爱惜身体加餐饭，后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天[表情]
gaojiacheng2091(2019-07-19 22:57:31):  

----------------------------白水10123----------------------------
白水10123(2019-07-19 20:35:10):  527236385602406919 这个订单需要变更信息
白水10123(2019-07-19 20:35:10):  [卡片]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 20:35:10):  您好，我是捷豹路虎官方旗舰店购车管家:16，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情： https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 20:35:23):  您好，欢迎光临捷豹路虎官方旗舰店，我是线上购车管家16，竭诚为您服务。
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 20:35:32):  麻烦亲亲申请一下退款重拍修改一下的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 22:56:06):  请问您这边还有其他问题需要咨询吗
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 22:57:24):  尊敬的客户，整日奔波挺辛苦，天热多喝水，爱惜身体加餐饭，后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天[表情]
白水10123(2019-07-19 22:57:26):  

----------------------------wwwtza----------------------------
wwwtza(2019-07-19 21:19:30):  http://item.taobao.com/item.htm?id=520717372031
wwwtza(2019-07-19 21:19:31):  [卡片]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 21:19:31):  您好，我是捷豹路虎官方旗舰店购车管家:16，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情： https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 21:19:39):  您好，欢迎光临捷豹路虎官方旗舰店，我是线上购车管家16，竭诚为您服务。
wwwtza(2019-07-19 21:19:40):  在？
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 21:19:51):  亲亲有什么需要咨询的呢
wwwtza(2019-07-19 21:19:57):  直接拍吗
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 21:20:05):  请确保您具备如下条件：1.您的爱车配备了InControl智能驭领高级触控服务系统；2.您持有有效的中国大陆身份证；3.您的收货地址位于中国大陆；4.您拥有中国大陆手机	号码；5.您的爱车为一手车（需提供一手车发票）；6.您需在开具购车发票后9个月内申请购买本产品；7.确保您知晓爱车的VIN（车辆识别码）号码；8.VIN码符合此次活动。
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 21:20:18):  您这边提供一下您的发票的哦
wwwtza(2019-07-19 21:20:45):  车提了，发票还没拿到
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 21:20:58):  亲亲方便的时候提供一下的哦
wwwtza(2019-07-19 21:21:05):  好
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 21:21:10):  因为购买此卡需要满足上方条件的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 21:21:18):  小客服这边也是需要查询的哦
wwwtza(2019-07-19 21:21:21):  是先把发票发给你吗
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 21:21:24):  给亲亲添麻烦了
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 21:21:26):  对的哈
wwwtza(2019-07-19 21:21:31):  好的
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 21:21:37):  [表情]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 22:56:01):  请问您这边还有其他问题需要咨询吗
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 22:57:21):  尊敬的客户，整日奔波挺辛苦，天热多喝水，爱惜身体加餐饭，后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天[表情]
wwwtza(2019-07-19 22:57:22):  

----------------------------t_1478778070808_0----------------------------
t_1478778070808_0(2019-07-19 21:29:55):  175身高，体重55公斤，什么尺码？
t_1478778070808_0(2019-07-19 21:29:55):  [卡片]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 21:29:55):  您好，我是捷豹路虎官方旗舰店购车管家:16，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情： https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
t_1478778070808_0(2019-07-19 21:30:03):  http://item.taobao.com/item.htm?id=578575243606
t_1478778070808_0(2019-07-19 21:30:15):  175身高，体重55公斤，什么尺码？
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 21:30:18):  建议m码的哦
t_1478778070808_0(2019-07-19 21:30:59):  M会不会偏长？
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 21:31:14):  亲亲特别瘦吗
t_1478778070808_0(2019-07-19 21:31:21):  是的
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 21:31:27):  那建议s码的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 21:31:46):  如果特别瘦的话穿m稍微有些宽松了
t_1478778070808_0(2019-07-19 21:32:00):  知道了
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 21:32:06):  [表情]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 22:55:57):  请问您这边还有其他问题需要咨询吗
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 22:57:13):  尊敬的客户，整日奔波挺辛苦，天热多喝水，爱惜身体加餐饭，后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天[表情]
t_1478778070808_0(2019-07-19 22:57:15):  

----------------------------香草o_o----------------------------
香草o_o(2019-07-19 21:47:24):  你好，在吗
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 21:47:24):  您好，我是捷豹路虎官方旗舰店购车管家:16，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情： https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 21:47:33):  您好，欢迎光临捷豹路虎官方旗舰店，我是线上购车管家16，竭诚为您服务。
香草o_o(2019-07-19 21:48:05):  有没有路虎行政加长版的脚垫
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 21:48:13):  没有的哦抱歉呢
香草o_o(2019-07-19 21:48:24):  好的谢谢。
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 21:48:25):  您好，我是捷豹路虎官方旗舰店购车管家:16，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情： https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 21:48:30):  客气了哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 22:55:52):  请问您这边还有其他问题需要咨询吗
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 22:57:09):  尊敬的客户，整日奔波挺辛苦，天热多喝水，爱惜身体加餐饭，后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天[表情]
香草o_o(2019-07-19 22:57:11):  

----------------------------cd未来168168----------------------------
cd未来168168(2019-07-19 22:01:05):  你好请问是不是纯棉的啊
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 22:01:06):  您好，我是捷豹路虎官方旗舰店购车管家:16，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情： https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
cd未来168168(2019-07-19 22:01:06):  [卡片]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 22:01:17):  您好，欢迎光临捷豹路虎官方旗舰店，我是线上购车管家16，竭诚为您服务。
cd未来168168(2019-07-19 22:01:53):  http://item.taobao.com/item.htm?id=558005426714
cd未来168168(2019-07-19 22:02:07):  不是衣服吗
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 22:03:23):  小客服这边帮您登记一下的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 22:03:30):  后期专员回复后会第一时间告知您的哦
cd未来168168(2019-07-19 22:04:05):  好
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 22:04:22):  100%棉
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 22:04:27):  棉质的哦
cd未来168168(2019-07-19 22:05:14):  身高175.体重65/买多大的合适呢
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 22:05:40):  建议m码的哦
cd未来168168(2019-07-19 22:06:23):  好的
cd未来168168(2019-07-19 22:06:25):  谢谢
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 22:06:30):  客气了哦亲亲
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 22:55:47):  请问您这边还有其他问题需要咨询吗
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 22:57:05):  尊敬的客户，整日奔波挺辛苦，天热多喝水，爱惜身体加餐饭，后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天[表情]
cd未来168168(2019-07-19 22:57:07):  

----------------------------wudeqin12----------------------------
wudeqin12(2019-07-19 09:48:08):  路虎发现神行 2018款   右前雾灯
wudeqin12(2019-07-19 09:48:08):  [卡片]
